               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.028956,            0.018326,            0.006677,             0.81137,              0.7392,             0.79974,             0.54152,            0.029513,           0.0085408,           0.0075893,           0.0076636,           0.0076636,           0.0076636
                 120,             0.02891,            0.018647,           0.0063384,              0.7713,             0.75449,              0.7988,             0.55288,            0.029153,           0.0084404,           0.0073826,           0.0076438,           0.0076438,           0.0076438
                 121,            0.029033,            0.018079,           0.0063271,             0.74309,              0.7515,             0.78348,             0.52353,            0.028613,           0.0085103,           0.0073181,            0.007624,            0.007624,            0.007624
                 122,            0.028765,            0.018272,           0.0063961,             0.74401,               0.761,             0.79955,             0.55071,            0.027975,           0.0086192,           0.0073658,           0.0076042,           0.0076042,           0.0076042
                 123,            0.028586,            0.017783,           0.0065438,              0.8014,             0.74103,             0.79258,              0.5397,            0.028928,           0.0085707,           0.0089289,           0.0075844,           0.0075844,           0.0075844
                 124,            0.028671,            0.018463,           0.0064107,             0.76714,             0.77165,             0.80932,             0.54805,            0.028529,           0.0085884,           0.0066079,           0.0075646,           0.0075646,           0.0075646
                 125,            0.028221,            0.018181,           0.0062709,             0.83284,             0.77208,             0.82214,             0.55258,            0.029952,           0.0086711,           0.0063273,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028595,            0.018249,           0.0059777,             0.79815,             0.77225,             0.80804,             0.54373,            0.029929,           0.0087091,           0.0060842,            0.007525,            0.007525,            0.007525
                 127,            0.028228,            0.018094,           0.0061367,              0.7637,             0.74043,             0.78481,             0.53484,            0.028598,           0.0086356,           0.0067786,           0.0075052,           0.0075052,           0.0075052
                 128,            0.028455,            0.017811,           0.0064387,             0.81388,              0.7547,             0.80951,             0.55595,            0.028515,            0.008233,           0.0060564,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028706,            0.018472,           0.0063728,             0.79539,              0.7714,             0.82526,             0.53537,            0.029553,           0.0083719,           0.0062292,           0.0074656,           0.0074656,           0.0074656
                 130,            0.028207,            0.018148,           0.0057927,             0.79072,             0.78654,             0.83413,             0.56931,             0.02841,            0.008316,           0.0072352,           0.0074458,           0.0074458,           0.0074458
                 131,            0.028422,            0.018252,            0.005994,             0.79303,             0.77633,             0.81922,             0.55416,            0.028429,           0.0085846,           0.0088686,            0.007426,            0.007426,            0.007426
